config,qt1,qt2,qt3,qt4,qt5,qt6,qt7,qt8,qt9,soma_qt,soma_ponderada,normalizacao
"200,HUX,0.0,BFM,0.01,60",7,0,2,0,0,0,0,0,0,9,77,8.555555555555555
"100,UX,0.5,BFM,0.05,100",7,0,1,0,0,0,0,0,0,8,70,8.75
"200,HUX,0.0,BFM,0.01,90",7,1,0,0,0,0,0,0,0,8,71,8.875
"200,HUX,0.0,IM,0.05,80",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.5,BFM,0.05,80",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.5,BFM,0.05,60",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.5,BFM,0.05,20",5,3,0,1,1,0,0,0,0,10,80,8.0
"200,HUX,0.0,BFM,0.01,30",8,0,0,0,0,0,0,0,0,8,72,9.0
"100,UX,0.7,BFM,0.1,100",7,0,1,0,0,0,0,0,0,8,70,8.75
"200,HUX,0.0,BFM,0.01,70",6,3,0,0,0,0,0,0,1,10,79,7.9
"100,UX,0.7,BFM,0.1,70",6,2,1,0,0,2,0,0,0,11,85,7.7272727272727275
"200,HUX,0.0,BFM,0.1,90",7,0,1,0,0,0,0,0,0,8,70,8.75
"200,HUX,0.0,BFM,0.01,50",6,1,1,0,0,0,0,0,0,8,69,8.625
"200,HUX,0.0,BFM,0.01,40",7,2,1,1,0,0,1,0,0,12,95,7.916666666666667
"100,UX,0.5,BFM,0.05,40",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.7,BFM,0.1,90",6,2,1,0,0,0,0,0,0,9,77,8.555555555555555
"100,UX,0.7,BFM,0.1,20",6,0,2,3,0,0,0,0,0,11,86,7.818181818181818
"200,HUX,0.0,BFM,0.1,10",6,3,1,0,0,2,0,0,0,12,93,7.75
"100,UX,0.5,BFM,0.05,30",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.5,BFM,0.05,70",6,0,0,1,1,1,0,0,0,9,69,7.666666666666667
"100,UX,0.7,BFM,0.1,30",7,0,1,0,0,0,0,0,0,8,70,8.75
"200,HUX,0.0,BFM,0.1,80",6,2,2,0,0,0,0,0,0,10,84,8.4
"200,HUX,0.0,BFM,0.01,100",8,0,0,0,0,0,0,0,0,8,72,9.0
"100,UX,0.7,BFM,0.1,50",8,0,1,0,0,0,0,0,0,9,79,8.777777777777779
"200,HUX,0.0,IM,0.05,100",8,0,1,0,0,0,0,0,0,9,79,8.777777777777779
"200,HUX,0.0,IM,0.05,20",8,0,0,0,0,0,0,0,0,8,72,9.0
"100,UX,0.5,BFM,0.05,10",7,0,0,1,0,0,0,0,0,8,69,8.625
"100,UX,0.5,BFM,0.05,50",7,0,0,1,0,0,0,0,0,8,69,8.625
"200,HUX,0.0,BFM,0.01,10",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,IM,0.05,40",7,0,0,1,0,0,0,0,0,8,69,8.625
"200,HUX,0.0,IM,0.05,10",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,IM,0.05,50",6,1,2,1,2,0,0,0,0,12,92,7.666666666666667
"200,HUX,0.0,IM,0.05,90",8,1,0,0,0,0,0,0,0,9,80,8.88888888888889
"100,UX,0.7,BFM,0.1,10",8,0,1,0,0,0,0,0,0,9,79,8.777777777777779
"200,HUX,0.0,BFM,0.1,70",7,1,0,0,0,0,0,0,0,8,71,8.875
"200,HUX,0.0,BFM,0.1,60",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,BFM,0.1,30",7,0,0,1,0,0,0,0,0,8,69,8.625
"200,HUX,0.0,BFM,0.01,80",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.7,BFM,0.1,60",7,0,1,0,0,0,0,0,0,8,70,8.75
"200,HUX,0.0,IM,0.05,60",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,IM,0.05,30",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.7,BFM,0.1,40",8,2,0,0,0,0,0,0,0,10,88,8.8
"200,HUX,0.0,BFM,0.01,20",7,4,1,0,0,0,0,0,0,12,102,8.5
"100,UX,0.7,BFM,0.1,80",7,0,1,0,0,0,0,0,0,8,70,8.75
"100,UX,0.5,BFM,0.05,90",6,1,0,1,0,1,0,1,0,10,74,7.4
"200,HUX,0.0,IM,0.05,70",6,1,0,1,0,2,0,0,0,10,76,7.6
"200,HUX,0.0,BFM,0.1,50",8,0,0,0,2,0,0,0,0,10,82,8.2
"200,HUX,0.0,BFM,0.1,100",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,BFM,0.1,20",8,0,0,0,0,0,0,0,0,8,72,9.0
"200,HUX,0.0,BFM,0.1,40",7,0,1,0,0,0,0,0,0,8,70,8.75
